radar,datetime,height,u,v,w,ff,dd,sd_vvp,gap,eta,dens,dbz,dbz_all,n,n_dbz,n_all,n_dbz_all,rcs,sd_vvp_threshold,vcp,radar_latitude,radar_longitude,radar_height,radar_wavelength,source_file
bewid,2023-05-03T18:00:00Z,1200,-1.9900416135787964,0.5401368737220764,0.9688124656677246,2.0620410442352295,285.18536376953125,2.207995891571045,FALSE,8.119501113891602,0.7381364703178406,-16.472705841064453,-9.006738662719727,3328,52127,3489,52353,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1200,-1.8060417175292969,0.6598647236824036,-0.3945675790309906,1.922812581062317,290.070556640625,2.047158718109131,FALSE,6.1070451736450195,0.5551859140396118,-17.709688186645508,-11.682106018066406,3204,52208,3396,52465,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1400,-1.556493878364563,0.6358836889266968,1.1239972114562988,1.6813747882843018,292.2217712402344,2.1036367416381836,FALSE,8.847073554992676,0.8042793869972229,-16.10000228881836,-12.27774429321289,1906,41237,2145,41579,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1400,-1.1882673501968384,0.5828682780265808,-1.1449731588363647,1.3235236406326294,296.12884521484375,2.1640915870666504,FALSE,8.466801643371582,0.7697092294692993,-16.29080581665039,-13.0264310836792,1857,41393,2060,41678,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1400,-1.4115610122680664,0.6676965355873108,-0.7968742847442627,1.561513066291809,295.3150939941406,2.0602900981903076,FALSE,7.586713790893555,0.6897012591362,-16.7674617767334,-14.362604141235352,1791,41246,2045,41600,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1600,-2.014127254486084,1.7945476770401,-0.05729809030890465,2.6976118087768555,311.7004089355469,2.1782233715057373,FALSE,4.910660266876221,0.44642364978790283,-18.656599044799805,-9.104228973388672,1401,33961,1691,34392,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1600,-1.5460096597671509,1.3679213523864746,-1.4691457748413086,2.064304828643799,311.5026550292969,1.9795602560043335,FALSE,3.908116340637207,0.0,-19.64832305908203,-17.20429039001465,1349,34041,1572,34338,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1600,-1.6214625835418701,1.1778130531311035,-0.45459577441215515,2.00409197807312,305.9942626953125,1.8679293394088745,FALSE,4.163484573364258,0.0,-19.373428344726562,-17.93752098083496,1251,33883,1552,34339,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T181000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1800,-0.5741950273513794,0.4063205420970917,-3.17563796043396,0.7034175992012024,305.2845764160156,1.4266325235366821,FALSE,4.691173553466797,0.0,-18.85518455505371,-14.89122200012207,906,32330,1113,32726,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180000Z_0xb.h5
bewid,2023-05-03T18:00:00Z,1800,-0.2708686292171478,0.4245298504829407,-2.9216666221618652,0.5035825967788696,327.4603271484375,1.350393533706665,FALSE,4.449398994445801,0.0,-19.084985733032227,-15.568666458129883,853,32379,1113,32766,11.0,2.0,,49.9143,5.5056,590,5.3,bewid_vp_20230503T180500Z_0xb.h5
